Slug,Title,Date,Intro,Image,URL,Quarter,Year,Author
digital-technologies-nonprofits,How to harness the power of digital technologies for non-profits,4/5/2021,An applied example: Ersilia Open Source Initiative,This-Just-In-Digital-Development-818x460.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/UPQdCGwh63AXnMKWse3zQg/u0Ncm52EJX8oqug2otc7GIzlPdFHWatd0jmmK30aMydBeKRVa_ZDG1EO4tHoVpJjwJqgOvVcE0vOjgHRV9AUk0CYgE-113rIfCLZEwhcbUK88PMmdnNc4kY1Clq_FgR1hxRbkFnbliDrVkY-J2118rr2kuLDgpDvdtEqFRAAXewlMpy1fA7goOgFnsvoiXFS/COMf6VNqVz3Xtf5NYR_iXL0bmh1cJFXux_Dld_jUJfI),https://medium.com/ersiliaio/how-to-harness-the-power-of-digital-technologies-for-non-profits-24176b63a4a7,Q2,2021,Gemma Turon Rodrigo
cloud-citadel,Our small charity explained to digital nomads,14/6/2021,We stayed at Cloud Citadel coliving space,cloud-citadel.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/woTDUsf3h7of5c_2HhL0nA/z0PhaOTM2j3pMlKXxe3UACgsWqZjhpPJpCRB53xqN1tjkAvdW_KePwcA1NVxjyXwhY2OpotegrDq8HWMS1rtGqArRQ74tzuo1lCHvH6wZNDEe7kpV1VYukvun_WZuA7oygWO3tdfwmFKVJUWjLAKDQ/Vva-EIvAHGpA47hPuzV1TfwwCpKB6pUjlaYFpXyX0ZM),https://medium.com/ersiliaio/our-small-charity-explained-to-digital-nomads-d2702699fa75,Q2,2021,Miquel Duran Frigola
dream-challenge,Outstanding performance in a community challenge,15/6/2021,Chemical Checker results in a DREAM Challenge,cc-ordered.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/I8H7knHAD8MzS4GG9sereQ/MqmjTaEm0zMIPhGbnHcnJuouBi_5hQ4kCYyz52v1Ro6KwD6VQ1x5tBe0O63kIoJxrIg-13snTP4lw95OHVPLYTocNf-FrBsGnwx3YGFM8kyLMe97AN_SmA9A5r-SKItarsxPEniMZB8MefhPpi_suA/JiT4sk0edb78O80ap0JwBBGhoEL3u4pvlv9njdUL2Q4),https://medium.com/ersiliaio/outstanding-performance-in-a-community-challenge-for-pan-cancer-drug-discovery-4094d18e27fb,Q2,2021,Miquel Duran Frigola
novel-antimalarials,Open source drug discovery for novel antimalarials,16/6/2021,Ersilia participates in the Open Source Malaria project,belamy.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/FqEgRgYlK-fUyO-1AMDk4Q/ENSnIzgm5IvrawNwuQsFiEB4bqzxmbs44e3t6h5K8MJjSF2QUtXUY9w29l6YHRqiULtpzCDhkaenu-hwdNkrDo6ATuuqb1soBaZWeLX-d8B8yakABVv3CO6zyq32u6p_bOFOaoUfZlnko9Ese8WO4Q/EtEDR5GKP_hKc1h61H8mlmKL7B47kDk92R159QY-hLY),https://medium.com/ersiliaio/open-source-drug-discovery-for-novel-antimalarials-5ca8d51301fe,Q2,2021,Miquel Duran Frigola
uncreative-science,Uncreative science,22/6/2021,Some personal thoughts before populating the Ersilia Model Hub,brillo-boxes.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/vXwUgjFl5RACEtE50nKd5Q/KpxotamXBxax4az-Kkdqin-RfrGON5RmtZPKCYMrB46kmqR7xNJ1lOltEGqaV8vfg6cmldLbbIQ6f0U93Ssrf7Jrz9K-4wF9XP-IQV6EA34tSH7E9Edgq05D7Zs9np21h7vTP5DUpGl5RKCHd-CJjA/NWq5cL-Z16XcV-d5iY17zLcnYKu3pukSOE4IUwFbvew),https://medium.com/ersiliaio/uncreative-science-b89d5fca8563,Q2,2021,Miquel Duran Frigola
brand-guidelines,Ersilia Open Source Initiative Brand guidelines,28/6/2021,"Here we present our brand guidelines, including logo, fonts and color palettes",EOSI_BackgroundImage.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/3OUD9Xd3CtGzmFJT2hGHeA/oOzJe7drd4aqBWkXHIK_UULXzNs1yGtlF6u1y7pjHyzkkdj7ZxVNhfKXejFPdUwFktWZJXP23k0kwY6WNWeblzy-1sI3HJtsgsftsv47C-Lmf-5hqsU56epnLIkB_twSxHYfK3c4cMYOJ0Iu3NqoYH40QiL-H5PUlt-UdgsL51Q/8McO7R8jvgq0vlFAHPkzX92MLfOhlgq_QYUvCBrJxWE),https://medium.com/ersiliaio/ersilia-open-source-initiative-brand-guidelines-130fe53104f5,Q2,2021,Gemma Turon Rodrigo
fundoss-thanks,Thank you to the FundOSS team,5/7/2021,"We want to thank FundOSS for including the Ersilia Open Source Initiative in the pilot round of democratic funding for Open Source Software, as well as our 104 backers, who have helped us raise $13,752",fundoss.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/qmWa-RWXWIQUoovQiZucqg/BxrXUEtBP8HAg8iYBIrz5VrGhYnIQAWHoG-KpGeSntK_tk_RrxtePTnnC3bat-KK7cfSpbBDsbBIMaeeYjIIM2gM9W5zEHcAzYusT_U2iRWKYDIhxLp9dCrJARJ99CueGBA2p3QkNIC7ZJj5x-FS5A/hmvCPPD1JkK8XqDiD3ndSWlGLP8CTVYSO8FwbBNjaa4),https://medium.com/ersiliaio/thank-you-to-the-fundoss-team-71c131b79a3f,Q3,2021,Gemma Turon Rodrigo
beyond-hype,Beyond the hype of AI/ML in biomedicine,5/8/2021,What are the real capabilities of AI/ML and what is needed to efficiently incorporate it into day-to-day scientific research?,priscilla-du-preez-FOsina4f7qM-unsplash.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/mGjb6CIrEgYcpPTqMyHb0Q/mxGSg46M0_G45vlvkr-pMXe1O95dMYC0JVceTj4We6jpGrINEMlBohBGyse3OWmxWGPoTTrYnR740a0WjtCqlcj52QVWq8nYZyDfbe3TMTm2IvoN1RcLg5K5bDXxSHkpknizUdI06gVu-r4qbHXufCtvFqjFlkJWWOrvW5D9bYzdXlcHVcPaJb56PuHCh8I0/9BGukh89bwHKZ4_V3pJH6gUx9_6LjUPw8oS82sNRc6U),https://medium.com/ersiliaio/beyond-the-hype-of-ai-ml-in-biomedicine-76c198c07467,Q3,2021,Gemma Turon Rodrigo
ssi-health-check,Learnings from a software sustainability health check,15/8/2021,We underwent the online evaluation offered by the Software Sustainability Institute,1_c6en9hjl-WB75BMq0ZHQGA.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/3LLVKKysagKhoWBGUSVVzw/058szU8kusRrZ1OZP7MWeny3e6Kq3QwjgSUzvXcFjBPk1pLZwVDXyk6hT9pBKSlS2TqFhqdWuxhoRIV7pF3qBTfXF8h5YqXUlqVeq2B8o85FosV9zSix-8j3VD4za_5d5DBUMd9eNCVKfu3mZS4yOkwFSWHTszV-O9gjrBcckps/CwjbmiHGiD9ppTVuJRKgigm4kptfDr8JRc7RGxrb-y4),https://medium.com/ersiliaio/learnings-from-a-software-sustainability-health-check-4699423f8529,Q3,2021,Miquel Duran Frigola
cranfield-support,Pro-bono support from the Cranfield Trust,31/8/2021,"If you are a charity leader and feel that professional business consultancy and mentoring can bring your charity to the next level, do not miss this post!",blogpost.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/nJIo57Cfr7vErOTg4ujy0w/mv5gKQ3VKYC70iTC9m891V4IQJxosnAfp4ToC-goxzRHs7ZqwHnBb4oNIz1KJ7abZ1SkWc6uGPALnlz5kZW6k6shdiULnyOHiOQ6JgotbkR0q3v322I3Bifnzym7dNcvXKJv6O8fFHYYr4tOm2YD5g/w0eva2voWnr9LJc6jfIOaaXq2f5wBREuKje0GXLzoho),https://medium.com/ersiliaio/how-the-cranfield-trust-pro-bono-business-and-management-support-has-strengthened-eosis-e9c2b438580a,Q3,2021,Gemma Turon Rodrigo
open-collective,Open Collective is Redefining Open Organizations,2/10/2021,An example of the benefits of being an Open Collective for a charitable organisation like Ersilia.,network.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/tX8_ptxTkQuRjaKmHjsuug/BnVfuohbWMzfA-JlQTmmyNqiQkAk2kJQXJ8o8ZFSSncCe57TIKCIR2LbI2cHbDN1q61yvz94Q7sNAIybyYgMSDMuxNfDBwhQ-juZICCKKgNUDJzEOzkjSIRiYjVszcnGcvGJ6AWhUebT0QbBn95x7w/6ZQl1OIdRR2s83NMK485J1LvQP3dvzQ9tRAcufGqi90),https://medium.com/ersiliaio/how-open-collective-is-redefining-open-organizations-bcf9a773d15c,Q4,2021,Gemma Turon Rodrigo
coaching-fellowship,An insight into the journey with the Coaching Fellowship,17/12/2021,A personal share from Gemma's transition to becoming the CEO of Ersilia,wakeup.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/kcJ_W1qCk5eSw711rJn9eg/4EnLJNt0xugNd8TO2H_41LfPxTJr52qpCprU7DnJ3m2bkyenAX1TIPFynrI_DwjJSb7nuxu-Jh68UsPjSeGab0L8L4DeEgQk2CuDAGIjhNoWuMdV8FwjSrZFW1r-k0_dKJUffHe2FW1dRcgF9j-DNQ/0a14FEHKuJl8LYWYvJzsuZ0SHAy0mLd-ot_qfUZeKXs),https://medium.com/ersiliaio/an-insight-into-the-journey-with-the-coaching-fellowship-17e224b94902,Q4,2021,Gemma Turon Rodrigo
