Identifier,Slug,Status,Repository,Title,Description,Input,Input Shape,Output,Mode,Tag,GitHub,Publication,Source Code,License,Both Identifiers,Code,Interpretation,Task,Contributor,Date,Calculation,Output Shape,Output Type,Host URL,DockerHub,Docker Architecture,S3
eos7d58,admet-ai-prediction,Ready,https://github.com/ersilia-os/eos7d58,ADMET properties prediction,"A framework based on ensemble of five Chemprop-RDKit models, for fast batch prediction of ADMET properties of small molecules. The framework exists as a CLI tool, a Python API, and a web server. We incorporate it using the API.",Compound,Single,"Probability,Score",Pretrained,"ADME,Toxicity",https://github.com/ersilia-os/eos7d58,https://www.biorxiv.org/content/10.1101/2023.12.28.573531v1,https://github.com/swansonk14/admet_ai,MIT,,"$ ersilia serve admet-ai-prediction
$ ersilia api -i 'CCCOCCC'
$ ersilia close","ADMET AI is a framework for carrying out fast batch predictions for ADMET properties. It is based on ensemble of five Chemprop-RDKit models and has been trained on 41 tasks from the ADMET group in Therapeutics Data Commons (v0.4.1). Out of these 41 tasks, there are 31 classification tasks and 10 regression tasks. In addition to that output also contains 8 physicochemical properties, namely, molecular weight, logP, hydrogen bond acceptors, hydrogen bond doners, Lipinski's Rule of 5, QED, stereo centers, and topological polar surface area. Furthermore, each of these outcomes is contextualized through a computation of its percentile in reference to DrugBank approved drugs. According to the authors, the framework can generate predicitons for a million compounds in approximately 3 hours on a single GPU or 32 CPU machine.","Classification,Regression",DhanshreeA,7/2/2024,https://github.com/DhanshreeA,List,Float,,https://hub.docker.com/r/ersiliaos/eos7d58,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos7d58.zip
eos2re5,admetlab,Ready,https://github.com/ersilia-os/eos2re5,ADMETlab models for evaluation of drug candidates,"A series of models for the systematic ADMET evaluation of drug candidate molecules. Models include blood-brain barrier penetration; inhibition and substrate affinity for CYP1A2, CYP2C9, CYP2C19, CYP2D6, CYP3A4, and pgp; F 20% and F 30% bioavailability; human intestinal absorption; Ames mutagenicity; skin sensitization; plasma protein binding; volume distribution; LD50 of acute toxicity; human hepatotoxicity; hERG blocking; clearance; half-life; Papp (caco-2 permeability); LogD distribution coefficient; and LogS solubility.",Compound,Single,Experimental value,Pretrained,"ADME,Toxicity,Lipophilicity,Solubility,Permeability",https://github.com/ersilia-os/eos2re5,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-018-0283-x,https://github.com/ifyoungnet/ADMETlab,GPL-3.0,"eos2re5,admetlab","$ ersilia serve admetlab
$ ersilia api -i 'CCCOCCC'
$ ersilia close","Regression models provide a numerical result (LogS (log mol/L), LogP (distribution coefficient), Papp (Caco-2 permeability in cm/s), PPB (%)). Classifications provide the probability of activity according to ADMETlab thresholds.","Classification,Regression",svolk19-stanford ,28/7/2022,https://github.com/svolk19-stanford ,List,Float,,https://hub.docker.com/r/ersiliaos/eos2re5,AMD64,https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos2re5.zip
eos2v11,admetlab-2,Ready,https://github.com/ersilia-os/eos2v11,ADMETLab-2,"ADMETLab2 is the improved version of ADMETLab, a suite of models for systematic evaluation of ADMET properties. ADMETLab2 provides predictions on 17 physicochemical properties, 13 medicinal chemistry properties, 23 ADME properties, 27 toxicity endpoints and 8 toxicophore rules. The code and training data are not released, using this model posts predictions to the ADMETLab2 online server. The Ersilia Model Hub also offers ADMETLab (v1) as a downloadable package for IP-sensitive queries.",Compound,Single,"Experimental value,Probability",Online,"Toxicity,ADME,Lipophilicity,Solubility,Permeability",https://github.com/ersilia-os/eos2v11,https://academic.oup.com/nar/article/49/W1/W5/6249611?login=false,https://admetmesh.scbdd.com/,Proprietary,"eos2v11,admetlab-2","$ ersilia serve admetlab-2
$ ersilia api -i 'CCCOCCC'
$ ersilia close","Predicted relevant ADMET properties, Tox21 outcomes, physicochemical properties and drug-likeness. Outputs are of mixed type, including classification (labels) and continuous values.","Regression,Classification",miquelduranfrigola,16/9/2022,https://github.com/miquelduranfrigola,List,Float,,https://hub.docker.com/r/ersiliaos/eos2v11,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos2v11.zip
eos526j,aizynthfinder,Ready,https://github.com/ersilia-os/eos526j,Retrosynthesis planning,A tool for planning retrosynthesis of a target molecule based on template reactions and a stock of precursors. The algorithm breaks down the input molecule into purchasable blocks until it has been completely solved.,Compound,Single,Score,Pretrained,"Synthetic accessibility,Chemical synthesis",https://github.com/ersilia-os/eos526j,https://jcheminf.biomedcentral.com/articles/10.1186/s13321-020-00472-1,https://github.com/MolecularAI/aizynthfinder,MIT,"eos526j,aizynthfinder","$ ersilia serve aizynthfinder
$ ersilia api -i 'CCCOCCC'
$ ersilia close","The fraction of solved precursors and the number of reactions required for synthesis. Close to 1.0 for a solved compound, less than 0.8 for unsolved.",Generative,svolk19-stanford ,19/7/2022,https://github.com/svolk19-stanford ,Flexible List,"String,Float",,https://hub.docker.com/r/ersiliaos/eos526j,AMD64,https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos526j.zip
eos18ie,antibiotics-ai,Ready,https://github.com/ersilia-os/eos18ie,Substructure-based search of novel antibiotics,"The authors use a large dataset (>30k) to train an explainable graph-based model to identify potential antibiotics with low cytotoxicity. The model uses a substructure-based approach to explore the chemical space. Using this method, they were able to screen 283 compounds and identify a candidate active against methicillin-resistant S. aureus (MRSA) and vancomycin-resistant enterococci.",Compound,Single,Probability,Pretrained,"Cytotoxicity,Antimicrobial activity,ESKAPE",https://github.com/ersilia-os/eos18ie,https://www.nature.com/articles/s41586-023-06887-8,https://github.com/felixjwong/antibioticsai,MIT,,"$ ersilia serve antibiotics-ai
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Probability off growth inhibition (80% cut off at 50uM),Classification,Richiio,26/1/2024,https://github.com/Richiio,Single,Float,,https://hub.docker.com/r/ersiliaos/eos18ie,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos18ie.zip
eos42ez,antibiotics-ai-cytotox,Ready,https://github.com/ersilia-os/eos42ez,Human cytotoxicity endpoints,"The authors tested the dataset of 39312 compounds from the antibiotics-ai model (eos18ie) against several cytotoxicity endpoints; human liver carcinoma cells (HepG2), human primary skeletal muscle cells (HSkMCs) and human lung fibroblast cells (IMR-90). Cellular viability was measured after 20133 days of treatment with each compound at 10 μM and activities were binarized using a 90% cell viability cut-off. 341 (8.5%), 490 (3.8%) and 447 (8.8%) compounds classified as cytotoxic for HepG2 cells, HSk-MCs and IMR-90 cells",Compound,Single,Probability,Pretrained,"Cytotoxicity,ESKAPE",https://github.com/ersilia-os/eos42ez,https://www.nature.com/articles/s41586-023-06887-8,https://github.com/felixjwong/antibioticsai,MIT,,"$ ersilia serve antibiotics-ai-cytotox
$ ersilia api -i 'CCCOCCC'
$ ersilia close","Predicting cytotoxicity in  human liver carcinoma cells (HepG2), human primary skeletal muscle cells (HSkMCs) and human lung fibroblast cells (IMR-90)",Classification,Richiio,5/2/2024,https://github.com/Richiio,Single,Float,,https://hub.docker.com/r/ersiliaos/eos42ez,AMD64,https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos42ez.zip
eos9ivc,antitb-seattle,Ready,https://github.com/ersilia-os/eos9ivc,Antituberculosis activity prediction,Prediction of the activity of small molecules against Mycobacterium tuberculosis. This model has been developed by Ersilia thanks to the data provided by the Seattle Children's (Dr.  Tanya Parish research group). In vitro activity against M. tuberculosis was measured i na single point inhibition assay (10000 molecules) and selected compounds (259) were assayed in MIC50 and MIC90 assays. Cut-offs have been determined according to the researcher's guidance.,Compound,Single,Compound,In-house,"M.tuberculosis,Antimicrobial activity,MIC90,Tuberculosis",https://github.com/ersilia-os/eos9ivc,https://pubmed.ncbi.nlm.nih.gov/30650074/,https://github.com/ersilia-os/lazy-qsar,GPL-3.0,,"$ ersilia serve antitb-seattle
$ ersilia api -i 'CCCOCCC'
$ ersilia close","Probability of inhibition of M.tb in vitro in the MIC50, MIC90 and whole cell assays at cut-offs 10 and 20 uM and 50%, respectively ",Classification,GemmaTuron,24/11/2023,https://github.com/GemmaTuron,List,Float,https://lobster-app-ka3rk.ondigitalocean.app/,https://hub.docker.com/r/ersiliaos/eos9ivc,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos9ivc.zip
eos8h6g,avalon,Ready,https://github.com/ersilia-os/eos8h6g,Avalon fingerprint,"Avalon is a path-based substructure key fingerprint (1024 bits), developed for substructure screen-out when searching. It is part of the Avalon Chemoinformatics Toolkit and has also been implemented as an external RDKit tool.",Compound,Single,Descriptor,Pretrained,Fingerprint,https://github.com/ersilia-os/eos8h6g,https://pubs.acs.org/doi/full/10.1021/ci050413p,https://github.com/rdkit/rdkit/tree/master/External/AvalonTools,BSD-3.0,"eos8h6g,avalon","$ ersilia serve avalon
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Bitvector representation of a molecule,Regression,miquelduranfrigola,14/9/2021,https://github.com/miquelduranfrigola,List,Integer,,https://hub.docker.com/r/ersiliaos/eos8h6g,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos8h6g.zip
eos4tcc,bayesherg,Ready,https://github.com/ersilia-os/eos4tcc,BayeshERG: hERG channel blockade,"BayeshERG is a predictor of small molecule-induced blockade of the hERG ion channel. To increase its predictive power, the authors pretrained a bayesian graph neural network with 300,000 molecules as a transfer learning exercise. The pretraining set was obtained from Du et al, 2015, and the fine tuning dataset is a collection of 14,322 molecules from public databases (8488 positives and 5834 negatives). The model was validated on external datasets and experimentally, from 12 selected compounds (>0.95 probability) one candidate showed strong hERG inhibition (IC 50 < 1 μM) and three moderate (1 μM < IC 50 < 10 μM) in a patch-clamp in vitro assay.",Compound,Single,Probability,Pretrained,"hERG,Toxicity,Cardiotoxicity",https://github.com/ersilia-os/eos4tcc,https://academic.oup.com/bib/article-abstract/23/4/bbac211/6609519,https://github.com/GIST-CSBL/BayeshERG,GPL-3.0,"eos4tcc,bayesherg","$ ersilia serve bayesherg
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Probability of hERG channel blockade. The cut-off used in the training set to define hERG blockade was IC50 <= 10 μM,Classification,azycn,10/8/2022,https://github.com/azycn,Single,Float,,https://hub.docker.com/r/ersiliaos/eos4tcc,"AMD64,ARM64",https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos4tcc.zip
eos9sa2,bayesian-drug-likeness,Ready,https://github.com/ersilia-os/eos9sa2,Drug-likeness prediction with Bayesian neural networks,"To define drug-likeness, a set of 2136 approved drugs from DrugBank was taken as drug-like, and three negative datasets were selected from ZINC15 (19M), the Network of Organic Chemistry (6M) and ligands from the Protein Data Bank (13k), respectively. The drug dataset was combined with an equal subsampling of the negative dataset for each experiment, using five different molecular representations (Mold2, RDKit, MCS, EXFP4, Mol2Vec). We have re-trained it following the author’s specifications.",Compound,Single,Probability,Retrained,Drug-likeness,https://github.com/ersilia-os/eos9sa2,https://www.nature.com/articles/s42256-020-0209-y,https://github.com/Nanotekton/drugability/tree/v0.1,Non-commercial,"eos9sa2,bayesian-druglikeness","$ ersilia serve bayesian-drug-likeness
$ ersilia api -i 'CCCOCCC'
$ ersilia close",Drug-likeness probability,Classification,Amna-28,9/11/2022,https://github.com/Amna-28,Single,Float,,https://hub.docker.com/r/ersiliaos/eos9sa2,AMD64,https://ersilia-models-zipped.s3.eu-central-1.amazonaws.com/eos9sa2.zip
