Slug,Thumbnail,Google Scholar ID,Authors,Title,Journal,URL,Status,Abstract,Year,Ersilia Affiliation,Senior,Year Web,Citations
structural-systems-pharmacology,1-s2.0-S1074552113000872-gr1_lrg.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/i9wh3ps3okZoiVOk2Q__2A/Q2yzQ4nmDpeS_GeLj-617OEuLkRKvmfLuyKpITUf6pPDfxYEI1GCqm-9F8EA_1yDc3Qkr_2pRY9IMcARX-7imPBGHBM3Tk68xSrq2DM847xdirH56vfxEUjILh2o3OBE3vJWQIhwD38zidyryXCMzU9qsiIuAvDlGh20hcZnoK0/n8g4WuSb1mfbOxk34yYxsbsUM0_P4rGvbUvbBWQJrYY),9745274305562474922,"Miquel Duran-Frigola, Roberto Mosca, Patrick Aloy",Structural systems pharmacology: the role of 3D structures in next-generation drug development,Cell Chemical Biology,https://www.sciencedirect.com/science/article/pii/S1074552113000872,Peer reviewed,"Structural systems pharmacology offers a novel way of approaching drug discovery by considering the global physiological environment of protein targets, and the effects derived of tinkering with them, without losing the key molecular details. In this article, we review some recent advances in the structural annotation of cell networks and discuss their potential impact on some of the hottest areas of drug development. In particular, we analyze recent structure-based strategies to target networks, protein interaction interfaces and allosteric sites, and how they will help in the development of more potent and specific treatments. Finally, we propose that mapping genetic variations onto protein networks, beyond the pharmacological targets, can rationalize interindividual variability in drug response, giving valuable hints to advance toward personalized medicine.",2013,No,Yes,Previous,51
chemocentric-view,fragments.webp (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/WH4AdKT5ngXADnJcTR7M7A/oamDCY3mjUYROGRahxx8ydi6bnNMnIdC8VhzPiSW2ZtHeO_yg2UkdgIG3a96qMEthqo7i298gv_3e9OxutoKfcDjcnyUE62n-rrzTIro_tqWnC8UgooBNuGZIi3kCq7OKE5rxMF91Ds4lyTrqtJlQg/yBcrjjU5jpkSwE8cNMZAWxmFyLzavgezAaWrH7T6bNk),5003647443521460383,"Miquel Duran-Frigola, David Rossell, Patrick Aloy",A chemo-centric view of human health and disease,Nature Communications,https://www.nature.com/articles/ncomms6676/figures/1,Peer reviewed,"Efforts to compile the phenotypic effects of drugs and environmental chemicals offer the opportunity to adopt a chemo-centric view of human health that does not require detailed mechanistic information. Here we consider thousands of chemicals and analyse the relationship of their structures with adverse and therapeutic responses. Our study includes molecules related to the aetiology of 934 health-threatening conditions and used to treat 835 diseases. We first identify chemical moieties that could be independently associated with each phenotypic effect. Using these fragments, we build accurate predictors for approximately 400 clinical phenotypes, finding many privileged and liable structures. Finally, we connect two diseases if they relate to similar chemical structures. The resulting networks of human conditions are able to predict disease comorbidities, as well as identifying potential drug side effects and …",2014,No,Yes,Previous,32
similar-binding-pockets,polypharma.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/zHqNQd3dcb_-QXDoBQeImg/CA48vTB2SD7MccMFGbh9D69fPVfcbsqfO6eso_Gi_fmdVtT2GJsJ3ZxHx7dsG5Mcp7wn1UGvjq3Hg2XAXAZqWqp5qJVoU8xCrjLeTUkojp9VYDoZgj0KZP4N3BZfsKkEfQ0W0Rvc7NoBmTrfTeMgAA/gmBuBb1WzEFf3CVeCm7pG8uucaYUuHRB49tWgcvfQME),12236866300887800043,"Miquel Duran-Frigola, Lydia Siragusa, Eytan Ruppin, Xavier Barril, Gabriele Cruciani, Patrick Aloy",Detecting similar binding pockets to enable systems polypharmacology,Plos Computational Biology,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005522,Peer reviewed,"In the era of systems biology, multi-target pharmacological strategies hold promise for tackling disease-related networks. In this regard, drug promiscuity may be leveraged to interfere with multiple receptors: the so-called polypharmacology of drugs can be anticipated by analyzing the similarity of binding sites across the proteome. Here, we perform a pairwise comparison of 90,000 putative binding pockets detected in 3,700 proteins, and find that 23,000 pairs of proteins have at least one similar cavity that could, in principle, accommodate similar ligands. By inspecting these pairs, we demonstrate how the detection of similar binding sites expands the space of opportunities for the rational design of drug polypharmacology. Finally, we illustrate how to leverage these opportunities in protein-protein interaction networks related to several therapeutic classes and tumor types, and in a genome-scale metabolic model of leukemia.",2017,No,Yes,Previous,37
oncogenomic-landscape,oncogenomic-landscape.webp (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/WGWcZgxRglxEEbl-qWe4EQ/kdgM6lBqP8DZ8apu3ldcACyPIvxyqm6LG2LI7Ei4DvyTJ4mXu1QBVFotJHZsC40TARKoGJZYfChuSfLah56O6_p2MFqtNkd8i3Wfn2eCdrCY6cEaYxoIk7H4_CvcOmltW7PoShkPRsNNFYAve7qVvNOXVnEvkzu42Ykk2rltWFw/fbR6gXqViePqq-8ZOpI3_OUwehkBhGMzv-VMcaBAQy4),11422299726160322576,"Lidia Mateo, Oriol Guitart-Pla, Miquel Duran-Frigola, Patrick Aloy",Exploring the OncoGenomic Landscape of cancer,Genome Medicine,https://link.springer.com/article/10.1186/s13073-018-0571-0,Peer reviewed,"The widespread incorporation of next-generation sequencing into clinical oncology has yielded an unprecedented amount of molecular data from thousands of patients. A main current challenge is to find out reliable ways to extrapolate results from one group of patients to another and to bring rationale to individual cases in the light of what is known from the cohorts. We present OncoGenomic Landscapes, a framework to analyze and display thousands of cancer genomic profiles in a 2D space. Our tool allows users to rapidly assess the heterogeneity of large cohorts, enabling the comparison to other groups of patients, and using driver genes as landmarks to aid in the interpretation of the landscapes. In our web-server, we also offer the possibility of mapping new samples and cohorts onto 22 predefined landscapes related to cancer cell line panels, organoids, patient-derived xenografts, and clinical tumor samples …",2018,No,No,Previous,8
rationalizing-drug-response,rationalizing.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/XZ-GJ8tFRwyA-kmH37ja5w/8_E1-3Hh2e7M7Vw3HeXc_cpx4eGffwvHOw1LDQw2vIuGpHPNTMqHQd9TwlyOyFZHuQnJRJlLHbBUkogz-wpClsC3UZjefttIVFeIoZojHZ36-5QLDTMV38VV2YhpFbrtRYLnqyxSgfasdULAIWHYfA/ZmmAD7URTVIi6nGHrbPSgz53gI_AY9OXtPF9J7rbPLg),2275073352341582253,"Teresa Juan-Blanco, Miquel Duran-Frigola, Patrick Aloy",Rationalizing drug response in cancer cell lines,Journal of Molecular Biology,https://www.sciencedirect.com/science/article/abs/pii/S0022283618301700,Peer reviewed,"Cancer cell lines (CCLs) play an important role in the initial stages of drug discovery allowing, among others, for the screening of drug candidates. As CCL panels continue to grow in size and diversity, many polymorphisms in genes encoding drug-metabolizing enzymes, transporters and drug targets, as well as disease-related genes have been linked to altered drug sensitivity. However, identifying the correlation between this variability and pharmacological responses remains challenging due to the heterogeneity of cancer biology and the intricate interplay between cell lines and drug molecules. Here, we propose a network-based strategy that exploits information on gene expression and somatic mutations of CCLs to group cells according to their molecular similarity. We then identify genes that are characteristic of each cluster and correlate their status with drug response. We find that CCLs with similar …",2018,No,No,Previous,9
cancer-ph,ph-cancer.webp (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/mJpbw_ZA0CVG_pmEBv4TzA/z4aQ4AerUgsn0W9j5Mt03p6WJi9XoGYXVYFGuBbZEbCbAWrwrAReMS3ZIERETgoVKdDPpp_hYDuIA2tkIiX2ZyixiYq1QSTHC0L3k5ML07kwSR6ZFj2UFFU7J1NcCcIYkKHjmb_E5Gl81LGOLnz45w/OazGr8latm6Yq10T38D0sOrtD9nhw1EuJZqdBtXeOIg),2473554593623575744,"Erez Persi, Miquel Duran-Frigola, Mehdi Damaghi, William R Roush, Patrick Aloy, John L Cleveland, Robert J Gillies, Eytan Ruppin",Systems analysis of intracellular pH vulnerabilities for cancer therapy,Nature Communications,https://www.nature.com/articles/s41467-018-05261-x,Peer reviewed,"A reverse pH gradient is a hallmark of cancer metabolism, manifested by extracellular acidosis and intracellular alkalization. While consequences of extracellular acidosis are known, the roles of intracellular alkalization are incompletely understood. By reconstructing and integrating enzymatic pH-dependent activity profiles into cell-specific genome-scale metabolic models, we develop a computational methodology that explores how intracellular pH (pHi) can modulate metabolism. We show that in silico, alkaline pHi maximizes cancer cell proliferation coupled to increased glycolysis and adaptation to hypoxia (ie, the Warburg effect), whereas acidic pHi disables these adaptations and compromises tumor cell growth. We then systematically identify metabolic targets (GAPDH and GPI) with predicted amplified anti-cancer effects at acidic pHi, forming a novel therapeutic strategy. Experimental testing of this strategy in …",2018,No,Yes,Previous,325
formatting-big-data,wires.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/JRtMUuP40NJQgISDVhkBEw/GgWcXsWMoluIYAQKtw0TqJpUaQA5S0P_GBayrClp_y3jdG35j3DLxKwYd6rgamzzofVGf8CL6d9zF5kqx1hslzmLvYOMLoVRIEK_p38DW1Knp_JQfStozkwcuUwTUI6SwGk2woRAwuRw11jhwRLh3A/vk6kLrmKtTvpiZfLJhYShaFsWCJ_FHv0zBbECXlGuiM),4378772494792854764,"Miquel Duran‐Frigola, Adrià Fernández‐Torras, Martino Bertoni, Patrick Aloy",Formatting biological big data for modern machine learning in drug discovery,Wiley Interdisciplinary Reviews: Computational Molecular Science,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wcms.1408,Peer reviewed,"Biological data is accumulating at an unprecedented rate, escalating the role of data‐driven methods in computational drug discovery. This scenario is favored by recent advances in machine learning algorithms, which are optimized for huge datasets and consistently beat the predictive performance of previous art, rapidly approaching human expert reasoning. The urge to couple biological data to cutting‐edge machine learning has spurred developments in data integration and knowledge representation, especially in the form of heterogeneous, multiplex and semantically‐rich biological networks. Today, thanks to the propitious rise in knowledge embedding techniques, these large and complex biological networks can be converted to a vector format that suits the majority of machine learning implementations. Here, we explain why this can be particularly transformative for drug discovery where, for decades …",2018,No,Yes,Previous,25
encircling-pharmacogx-regions,encircling.webp (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/tzyVMWcmjrfKzTq8v6Z1aw/PpqqErFs4HCsagHNFirltZNkdHtaG9m5arERx0qgJQR9xJ1aXp6N6Ineciz9qOhccS0v1QKpZqBVGbGzebAjMI9MUuS_iq37zAsOvkOcMz4pbdo0erdmQQa0fpRXpByDRDqHWvGOzuKPQDHMqF53xg/vVjMqELyPoG9mdKzWR7YMj1W2ZUNhx1VOT5t1IT1dU0),16368878881085314956,"Adrià Fernández-Torras, Miquel Duran-Frigola, Patrick Aloy",Encircling the regions of the pharmacogenomic landscape that determine drug response,Genome Medicine,https://link.springer.com/article/10.1186/s13073-019-0626-x,Peer reviewed,"The integration of large-scale drug sensitivity screens and genome-wide experiments is changing the field of pharmacogenomics, revealing molecular determinants of drug response without the need for previous knowledge about drug action. In particular, transcriptional signatures of drug sensitivity may guide drug repositioning, prioritize drug combinations, and point to new therapeutic biomarkers. However, the inherent complexity of transcriptional signatures, with thousands of differentially expressed genes, makes them hard to interpret, thus giving poor mechanistic insights and hampering translation to clinics. To simplify drug signatures, we have developed a network-based methodology to identify functionally coherent gene modules. Our strategy starts with the calculation of drug-gene correlations and is followed by a pathway-oriented filtering and a network-diffusion analysis across the interactome. We apply …",2019,No,Yes,Previous,16
driver-co-occurrence,driver-co-occurrence.webp (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/_79B96IBea8jVjLdWvYzFg/TWsv43yqtTnRdx326LdKvaJHARpHQwkC-IUEz6Uome2jNxjlcGtxHHPyvQgaUr56qhZSLVNOsV0cmHKhqRtD7RUiiH6vE1c4TcqWrFQy1T-PORpr2AFQSPqyeKWUKcaBgEFviLpB_YS9pfE9HAfkMsHvjyvsdAqOlAIePpwjppM/yzFFwgQu9TiIHjMOiPfsvhazMrvhl-uf5Bw5Yzp2zPM),10301756716718948964,"Lidia Mateo, Miquel Duran-Frigola, Albert Gris-Oliver, Marta Palafox, Maurizio Scaltriti, Pedram Razavi, Sarat Chandarlapaty, Joaquin Arribas, Meritxell Bellet, Violeta Serra, Patrick Aloy",Personalized cancer therapy prioritization based on driver alteration co-occurrence patterns,Genome Medicine,https://link.springer.com/article/10.1186/s13073-020-00774-x,Peer reviewed,"Identification of actionable genomic vulnerabilities is key to precision oncology. Utilizing a large-scale drug screening in patient-derived xenografts, we uncover driver gene alteration connections, derive driver co-occurrence (DCO) networks, and relate these to drug sensitivity. Our collection of 53 drug-response predictors attains an average balanced accuracy of 58% in a cross-validation setting, rising to 66% for a subset of high-confidence predictions. We experimentally validated 12 out of 14 predictions in mice and adapted our strategy to obtain drug-response models from patients’ progression-free survival data. Our strategy reveals links between oncogenic alterations, increasing the clinical impact of genomic profiling.",2020,No,No,2020,12
chemical-checker,Figure1.png (https://v5.airtableusercontent.com/v3/u/28/28/1714485600000/Ejrp2FPKlmp3LD8RJZDOxQ/NCfClLS0SZ355e83JQzN2xjDOZawm8TpodKnOYFbCn6fRGq9wOXXlmjQROkjnDJm8OcwEfXRx_g6FZOn-cSuM6hfXu4hiyDsRDm-8RHiJjWtWk6PxN0UPR5QhtmoFxXI2D_lK50DuLQGJ9DKzYSyOQ/VTtjbJhtuO5U-5_oXy3d2Lqy71KhDBFsVw26D9QnAak),18365484229947341262,"Miquel Duran-Frigola, Eduardo Pauls, Oriol Guitart-Pla, Martino Bertoni, Víctor Alcalde, David Amat, Teresa Juan-Blanco, Patrick Aloy",Extending the small-molecule similarity principle to all levels of biology with the Chemical Checker,Nature Biotechnology,https://www.nature.com/articles/s41587-020-0502-7,Peer reviewed,"Small molecules are usually compared by their chemical structure, but there is no unified analytic framework for representing and comparing their biological activity. We present the Chemical Checker (CC), which provides processed, harmonized and integrated bioactivity data on~ 800,000 small molecules. The CC divides data into five levels of increasing complexity, from the chemical properties of compounds to their clinical outcomes. In between, it includes targets, off-targets, networks and cell-level information, such as omics data, growth inhibition and morphology. Bioactivity data are expressed in a vector format, extending the concept of chemical similarity to similarity between bioactivity signatures. We show how CC signatures can aid drug discovery tasks, including target identification and library characterization. We also demonstrate the discovery of compounds that reverse and mimic biological signatures of …",2020,No,Yes,2020,88
